City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
405,iwanai,42.9744,140.5089,10.37,98,100,4.88,JP,1717007865
406,mormugao,15.4,73.8,29.04,83,30,5.73,IN,1717007865
407,muisne,0.6,-80.0333,26.62,80,79,5.03,EC,1717007865
408,tyukhtet,56.5389,89.3011,-1.05,84,17,3.32,RU,1717007865
409,hengchun,22.0042,120.7439,25.76,83,100,3.91,TW,1717007866
410,fortuna,40.5982,-124.1573,19.08,57,0,8.23,US,1717007866
411,tanjung pandan,-2.75,107.65,26.26,90,100,2.61,ID,1717007866
412,waingapu,-9.6567,120.2641,24.96,83,97,2.14,ID,1717007866
413,chaiyaphum,15.75,102.0,29.99,72,100,5.23,TH,1717007866
414,luganville,-15.5333,167.1667,23.8,76,100,4.83,VU,1717007866
415,soio,-6.1349,12.3689,26.09,84,92,4.78,AO,1717007866
416,brookings,44.3114,-96.7984,21.77,49,0,4.96,US,1717007867
417,merritt,50.1123,-120.7942,12.96,41,98,3.58,CA,1717007867
418,zhezqazghan,47.7833,67.7667,17.0,40,10,3.7,KZ,1717007867
419,formosa do rio preto,-11.0483,-45.1931,33.52,23,19,2.21,BR,1717007867
420,ternate,0.8,127.4,26.81,83,85,1.72,ID,1717007867
421,garissa,-0.4536,39.6401,25.26,69,36,8.76,KE,1717007867
422,liberal,37.0431,-100.921,25.08,47,0,6.17,US,1717007867
423,mana,5.6592,-53.7767,28.4,77,6,4.0,GF,1717007868
424,puerto aysen,-45.4,-72.7,5.3,99,100,2.37,CL,1717007868
425,kodiak,57.79,-152.4072,5.73,100,100,9.77,US,1717007868
426,forster,-32.1667,152.5167,12.58,86,2,3.22,AU,1717007868
427,murun-kuren,49.6342,100.1625,7.35,43,2,2.3,MN,1717007868
428,chonchi,-42.6128,-73.8092,11.73,75,81,2.99,CL,1717007868
429,fort bragg,35.139,-79.006,30.75,41,40,4.12,US,1717007868
430,nukus,42.4531,59.6103,17.99,34,0,3.09,UZ,1717007612
431,zalingei,12.9096,23.4741,32.74,10,12,3.68,SD,1717007869
432,sao vicente,-23.9631,-46.3919,24.1,48,40,4.12,BR,1717007869
433,susuman,62.7833,148.1667,7.21,53,15,2.68,RU,1717007869
434,chicoana,-25.1009,-65.5331,18.03,37,100,2.14,AR,1717007869
435,sinabang,2.4803,96.3801,26.97,88,100,1.6,ID,1717007869
436,palmer,42.1584,-72.3287,24.26,48,75,3.6,US,1717007869
437,qamdo,31.1667,97.2333,7.73,77,16,0.71,CN,1717007869
438,cova figueira,14.8905,-24.2934,18.85,79,39,4.31,CV,1717007870
439,juan griego,11.0817,-63.9655,30.98,64,26,7.5,VE,1717007870
440,bubaque,11.2833,-15.8333,28.2,75,67,5.54,GW,1717007870
441,takoradi,4.8845,-1.7554,27.3,79,20,4.4,GH,1717007870
442,palasa,18.7667,84.4167,29.23,84,97,4.79,IN,1717007870
443,tecuala,22.3986,-105.4569,36.79,31,1,4.87,MX,1717007614
444,vilyuchinsk,52.9306,158.4028,4.96,97,100,1.56,RU,1717007870
445,pulandian,39.3953,121.9669,19.54,41,100,3.91,CN,1717007871
446,mukalla,14.5425,49.1242,33.05,59,100,0.13,YE,1717007871
447,flying fish cove,-10.4217,105.6791,25.82,88,75,3.09,CX,1717007871
448,malpica,43.3228,-8.8105,17.36,76,18,1.65,ES,1717007871
449,ukholovo,53.7929,40.4892,16.17,63,12,3.42,RU,1717007871
450,nikolayevsk-on-amure,53.1406,140.73,0.68,91,100,1.79,RU,1717007871
451,lompoc,34.6391,-120.4579,21.45,70,20,7.2,US,1717007762
452,melfi,40.9965,15.6514,18.31,81,100,2.15,IT,1717007872
453,manistee,44.2445,-86.3242,17.01,59,0,7.72,US,1717007872
454,pitkyaranta,61.5734,31.4792,15.84,79,100,1.02,RU,1717007872
455,mount gambier,-37.8333,140.7667,16.66,40,100,7.45,AU,1717007872
456,glencoe,-28.1783,30.147,10.82,37,0,0.92,ZA,1717007872
457,mogok,22.9167,96.5,17.92,99,100,1.97,MM,1717007872
458,acapulco de juarez,16.8634,-99.8901,30.9,70,40,3.6,MX,1717007873
459,al manzalah,31.1582,31.937,22.95,64,0,4.7,EG,1717007873
460,nizhneangarsk,55.7833,109.55,8.89,67,99,2.24,RU,1717007873
461,san miguel de cauri,-10.1,-76.5833,13.91,42,14,4.8,PE,1717007873
462,fedorovka,53.6314,62.7078,12.29,96,93,4.05,KZ,1717007873
463,balabac,7.9868,117.0645,28.09,80,100,4.86,PH,1717007873
464,texistepec,17.8833,-94.7833,31.0,24,1,3.75,MX,1717007873
465,orapa,-21.2833,25.3667,16.72,43,0,2.53,BW,1717007874
466,kalevala,65.2,31.1667,13.38,66,56,4.47,RU,1717007874
467,valley city,46.9233,-98.0032,20.29,52,0,7.72,US,1717007736
468,mancio lima,-7.6142,-72.8958,20.04,83,100,2.57,BR,1717007874
469,raja,8.4596,25.678,28.34,51,52,3.33,SS,1717007874
470,taulaga,-11.0553,-171.0883,28.93,72,4,4.23,AS,1717007874
471,siocon,7.7061,122.1353,26.31,86,100,2.34,PH,1717007874
472,arrifes,37.7667,-25.7,19.14,88,40,6.69,PT,1717007874
473,charles city,43.0664,-92.6724,21.66,54,20,1.34,US,1717007875
474,mongar,27.2747,91.2396,18.27,92,100,2.37,BT,1717007875
475,troitskoye,52.9821,84.6757,2.89,97,100,1.54,RU,1717007875
476,coquimbo,-29.9533,-71.3436,18.32,73,0,6.17,CL,1717007875
477,north bay,46.3168,-79.4663,14.01,35,75,4.12,CA,1717007875
478,katsuura,35.1333,140.3,18.8,88,65,2.7,JP,1717007875
479,takehara,34.3383,132.9167,18.02,67,17,1.54,JP,1717007875
480,kavaratti,10.5669,72.642,27.98,83,100,8.71,IN,1717007876
481,asentamiento humano nicolas de pierola,-11.95,-76.7,10.16,40,100,3.65,PE,1717007876
482,ostersund,63.1792,14.6357,15.25,63,0,2.06,SE,1717007876
483,mokhsogollokh,61.4681,128.9203,12.9,77,93,1.51,RU,1717007876
484,masterton,-40.9597,175.6575,8.39,88,8,2.67,NZ,1717007876
485,tacna,-18.0056,-70.2483,20.11,49,0,2.57,PE,1717007877
486,cannonvale,-20.2833,148.7,22.66,81,16,6.92,AU,1717007877
487,kousseri,12.0769,15.0306,30.98,55,20,9.77,CM,1717007877
488,ebon,4.582,168.6964,28.33,80,25,6.4,MH,1717007877
489,harstad,68.799,16.5293,19.66,89,67,0.38,NO,1717007877
490,acarau,-2.8856,-40.12,26.8,86,98,5.69,BR,1717007877
491,shakhun'ya,57.6758,46.6114,14.15,98,51,3.88,RU,1717007877
492,page,36.9147,-111.4558,29.88,8,0,3.09,US,1717007652
493,mossel bay,-34.1831,22.146,24.96,41,68,3.89,ZA,1717007878
494,saldanha,-33.0117,17.9442,16.03,93,16,7.46,ZA,1717007878
495,haiku-pauwela,20.9219,-156.3051,25.68,82,40,6.69,US,1717007878
496,kourou,5.1552,-52.6478,30.03,66,18,3.48,GF,1717007591
497,hovd,48.0056,91.6419,12.04,21,0,2.71,MN,1717007878
498,novotroitsk,51.203,58.3266,14.39,62,0,3.77,RU,1717007878
499,maslyanino,54.3436,84.2111,0.06,81,100,1.35,RU,1717007878
500,venezuela,8.0,-66.0,34.66,41,87,5.88,VE,1717007879
